year,ward_no,ward_name,circle,zone,mean_ndvi
2017,89,GANDHINAGAR,15-MUSHEERABAD,SECUNDERABAD ZONE,0.11360630132252184
2017,75,RED HILLS,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.14162824451148245
2017,79,HIMAYATNAGAR,16-AMBERPET,SECUNDERABAD ZONE,0.09296243888919936
2017,88,BHOLAKPUR,15-MUSHEERABAD,SECUNDERABAD ZONE,0.09166598548528186
2017,86,MUSHEERABAD,15-MUSHEERABAD,SECUNDERABAD ZONE,0.12111891316202045
2017,85,ADIKMET,15-MUSHEERABAD,SECUNDERABAD ZONE,0.11439066952206049
2017,87,RAMNAGAR,15-MUSHEERABAD,SECUNDERABAD ZONE,0.12278571238378408
2017,90,KAVADIGUDA,15-MUSHEERABAD,SECUNDERABAD ZONE,0.1843925870594837
2017,93,BANJARA HILLS,18-JUBILEE HILLS,KHAIRATHABAD ZONE,0.15371302669544443
2017,91,KHAIRTABAD,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.052313491539923936
2017,103,BORABANDA,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.08726154045904254
2017,97,SOMAJIGUDA,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.1357941773188209
2017,98,AMEERPET,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.15312715694205156
2017,101,ERRAGADDA,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.13050055095016347
2017,100,SANATH NAGAR,17-KHAIRATABAD,KHAIRATHABAD ZONE,0.14250998952359714
2017,99,VENGALRAO NAGAR,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.18629176804630532
2017,102,RAHAMATH NAGAR,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.10522013370064712
2017,6,NACHARAM,1-KAPRA,L.B.NAGAR ZONE,0.20310725573647725
2017,84,BAGH AMBERPET,16-AMBERPET,SECUNDERABAD ZONE,0.13442875299804596
2017,81,NALLAKUNTA,16-AMBERPET,SECUNDERABAD ZONE,0.10474659543653062
2017,80,KACHIGUDA(Barkathpura),16-AMBERPET,SECUNDERABAD ZONE,0.09355473539135088
2017,82,GOLNAKA,16-AMBERPET,SECUNDERABAD ZONE,0.16745200965786172
2017,83,AMBERPET,16-AMBERPET,SECUNDERABAD ZONE,0.20429323133632446
2017,51,GOSHA MAHAL,14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.1336140166836978
2017,68,TOLICHOWKI,13-KARWAN,KHAIRATHABAD ZONE,0.23317652531705998
2017,67,GOLCONDA,13-KARWAN,KHAIRATHABAD ZONE,0.18634193201272367
2017,77,JAMBAGH(Nampally),14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.0899964757999785
2017,63,MANGALHAT,14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.128337858425396
2017,71,GUDIMALKAPUR,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.1476075433066334
2017,70,MEHDIPATNAM,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.10336783647961226
2017,76,MALLEPALLY,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.08095947085308373
2017,62,ZIAGUDA,13-KARWAN,KHAIRATHABAD ZONE,0.13038468841893155
2017,72,ASIF NAGAR,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.08602121523987967
2017,73,VIJAYANAGAR COLONY,12-MEDHDIPATNAM,KHAIRATHABAD ZONE,0.11818111110485571
2017,5,MALLAPUR,1-KAPRA,L.B.NAGAR ZONE,0.23938070812099457
2017,3,CHERLAPALLY,1-KAPRA,L.B.NAGAR ZONE,0.2513308798069724
2017,96,YOUSUFGUDA,19-YOUSUFGUDA,SERILINGAMPALLY ZONE,0.16491799160552548
2017,95,JUBILEE HILLS,18-JUBILEE HILLS,KHAIRATHABAD ZONE,0.20661867122823036
2017,50,BEGUM BAZAR,14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.09562297729613736
2017,78,GUNFOUNDRY(Abids),14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.13007342798379648
2017,65,KARWAN,13-KARWAN,KHAIRATHABAD ZONE,0.13523250850152413
2017,2,DR.A.S.RAO NAGAR,1-KAPRA,L.B.NAGAR ZONE,0.21782366049345858
2017,4,MEERPET H.B.COLONY,1-KAPRA,L.B.NAGAR ZONE,0.22103568079113645
2017,1,KAPRA,1-KAPRA,L.B.NAGAR ZONE,0.25164307648713186
2017,94,SHAIKPET,18-JUBILEE HILLS,KHAIRATHABAD ZONE,0.14257084216834642
2017,64,DATTATHREYA NAGAR,14-GOSHAMAHAL,KHAIRATHABAD ZONE,0.08626540964087853
2017,69,NANALNAGAR,13-KARWAN,KHAIRATHABAD ZONE,0.21547154387055306
2018,127,RANGAREDDY NAGAR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.13330703841034156
2018,119,OLD BOWENPALLY,24-KUKATPALLY,KUKATPALLY ZONE,0.14252795020149103
2018,145,SEETHAPHALMANDI,29-SECUNDERABAD,SECUNDERABAD ZONE,0.08780811504970831
2018,146,BOUDHA NAGAR,29-SECUNDERABAD,SECUNDERABAD ZONE,0.07900098098297358
2018,147,BANSILALPET,30-BEGUMPET,SECUNDERABAD ZONE,0.1293221073644681
2018,144,METTUGUDA,29-SECUNDERABAD,SECUNDERABAD ZONE,0.1868218420757188
2018,148,RAMGOPALPET,30-BEGUMPET,SECUNDERABAD ZONE,0.09537181516600657
2018,150,MONDA  MARKET,30-BEGUMPET,SECUNDERABAD ZONE,0.10809006758383657
2018,136,NEREDMET,28-MALKAJGIRI,SECUNDERABAD ZONE,0.20605573683523562
2018,141,GOUTHAM NAGAR,28-MALKAJGIRI,SECUNDERABAD ZONE,0.12740345385019192
2018,140,MALKAJGIRI,28-MALKAJGIRI,SECUNDERABAD ZONE,0.1325584300838261
2018,139,EAST ANAND BAGH,28-MALKAJGIRI,SECUNDERABAD ZONE,0.18098033378263245
2018,142,ADDAGUTTA,29-SECUNDERABAD,SECUNDERABAD ZONE,0.16437386120387526
2018,137,VINAYAK NAGAR,28-MALKAJGIRI,SECUNDERABAD ZONE,0.1280541387865384
2018,134,ALWAL,27-ALWAL,KUKATPALLY ZONE,0.15274058756936573
2018,132,JEEDIMETLA,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.18091554816187008
2018,CONTONMENT AREA,,CANTONMENT AREA,,0.21438411165725535
2018,120,BALA NAGAR,24-KUKATPALLY,KUKATPALLY ZONE,0.24689059641064984
2018,130,SUBHASH NAGAR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.13363158399234404
2018,131,QUTHBULLAPUR,25-QUTUBULLAPUR,KUKATPALLY ZONE,0.16921028285697418
2018,121,KUKATPALLY,24-KUKATPALLY,KUKATPALLY ZONE,0.1231552045072449
2018,125,GAJULARAMARAM,26-GAJULARAMARAM,KUKATPALLY ZONE,0.14801332167591266
2018,124,ALLYWN COLONY,24-KUKATPALLY,KUKATPALLY ZONE,0.13537969639596784
2018,114,K.P.H.B.COLONY,23-MOOSAPET,KUKATPALLY ZONE,0.1583888360677754
2018,116,ALLAPUR,23-MOOSAPET,KUKATPALLY ZONE,0.13902288671330415
2018,115,BALAJI NAGAR,23-MOOSAPET,KUKATPALLY ZONE,0.21119847682481055
2018,117,MOOSAPET,23-MOOSAPET,KUKATPALLY ZONE,0.10399829038206265
2018,105,GACHIBOWLI,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.19915541001987486
2018,110,CHANDANAGAR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.16105616901272243
2018,111,BHARATHI NAGAR,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.1707468114144433
