year,ward_no,ward_name,mean_tree_prob
2018,104,KONDAPUR,0.059159846993903725
2018,109,HAFEEZPET,0.04047189917707329
2018,118,FATEH NAGAR,0.040723536538730565
2018,143,TARNAKA,0.06918073427315402
2018,8,HABSIGUDA,0.15240013502334435
2018,40,RIYASATNAGAR,0.0364094866955566
2018,36,LALITHABAGH,0.03744977841794216
2018,34,TALABCHANCHALAM,0.031422079361908745
2018,22,CHAITHANYAPURI,0.050407445232896135
2018,37,KURMAGUDA,0.030899654475849723
2018,31,REIN BAZAR,0.030111384582451883
2018,29,CHAWANI,0.034783802563422256
2018,38,I.S.SADAN,0.04331661648219668
2018,18,LINGOJIGUDA,0.034164867191030096
2018,16,HASTHINAPURAM,0.030622493236565133
2018,20,R.K.PURAM,0.03209298347058419
2018,19,SAROORNAGAR,0.03628292938027673
2018,14,B.N.REDDY NAGAR,0.08755928013467612
2018,12,MANSOORABAD,0.10966960419321842
2018,21,KOTHAPET,0.0391833914287928
2018,11,NAGOLE,0.14783817277935746
2018,10,UPPAL,0.07715070320384518
2018,GRAMPANCHAYAT PEERZADI GUDA,,0.0315219946663713
2018,KALAVANCHA GRAM PANCHAYATH,,0.02963543900985512
2018,13,HAYATHNAGAR,0.057074039175447934
2018,15,VANASTHALIPURAM,0.041662484846916883
2018,26,OLD MALAKPET,0.04766021644128919
2018,17,CHAMPAPET,0.03094294222528378
2018,39,SANTOSH NAGAR,0.037219738636600816
2018,66,LUNGER HOUSE,0.14935869368762758
2018,112,RAMACHANDRAPURAM,0.06405887883118008
2018,128,CHINTAL,0.19884951237599782
2018,126,JAGADGIRI GUTTA,0.05570375665562766
2018,129,SURARAM,0.17068445677630303
2018,133,MACHABOLARUM,0.07341532727573638
2018,138,MOULA-ALI,0.03283097536022982
2018,107,MADHAPUR,0.05053863108283162
2018,OU,,0.28303824904879804
2018,149,BEGUMPET,0.07877331346958255
2018,135,VENKATAPURAM,0.035856399207180666
2018,123,HYDER NAGAR,0.05393960462808347
2018,122,VIVEKANANDA NAGAR COLONY,0.03089712519064468
2018,113,PATANCHERUVU,0.10784750001424986
2018,108,MIYAPUR,0.0902188974084243
