year,ward_no,ward_name,circle,zone,mean_ndvi,mean_lst_c
2017,114,K.P.H.B.COLONY,23-MOOSAPET,KUKATPALLY ZONE,0.1945773769905841,38.94413672417546
2017,116,ALLAPUR,23-MOOSAPET,KUKATPALLY ZONE,0.1679732135441791,38.69641646566087
2017,115,BALAJI NAGAR,23-MOOSAPET,KUKATPALLY ZONE,0.2542069108922661,37.26420112965424
2017,117,MOOSAPET,23-MOOSAPET,KUKATPALLY ZONE,0.1119655946233051,39.45904344382076
2017,105,GACHIBOWLI,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.2613857712985227,38.48097139574152
2017,110,CHANDANAGAR,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.1946517972340293,38.22533304597722
2017,111,BHARATHI NAGAR,22-RAMACHANDRAPURAM & PATANCHERUVU,SERILINGAMPALLY ZONE,0.1883038395218296,37.878018183837725
2017,106,SERILINGAMPALLY,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.2376146077247077,38.477926514615085
2017,104,KONDAPUR,20-SERILINGAMPALLY,SERILINGAMPALLY ZONE,0.1680497960284816,38.619116206397976
2017,109,HAFEEZPET,21-CHANDA NAGAR,SERILINGAMPALLY ZONE,0.1665533336879802,38.8793567293901
2017,118,FATEH NAGAR,23-MOOSAPET,KUKATPALLY ZONE,0.1441782684637675,38.830531370953324
2017,143,TARNAKA,29-SECUNDERABAD,SECUNDERABAD ZONE,0.1925554629947788,37.59941678385098
2017,8,HABSIGUDA,2-UPPAL,L.B.NAGAR ZONE,0.2516880797091183,37.818673783270846
2017,40,RIYASATNAGAR,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.0952533406412949,38.6963533197568
2017,36,LALITHABAGH,8-CHANDRAYANGUTTA,CHARMINAR ZONE,0.0923801872676855,39.36672747736541
2017,34,TALABCHANCHALAM,7-SANTOSH NAGAR,CHARMINAR ZONE,0.0450238794197479,39.7458214211711
2017,22,CHAITHANYAPURI,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.1453864427986538,38.459384331031465
2017,37,KURMAGUDA,7-SANTOSH NAGAR,CHARMINAR ZONE,0.0829932045135242,39.21498710617008
2017,31,REIN BAZAR,7-SANTOSH NAGAR,CHARMINAR ZONE,0.059571413233494,39.314422229479064
2017,29,CHAWANI,6-MALAKPET,CHARMINAR ZONE,0.0936729165419548,39.2397176632014
2017,38,I.S.SADAN,7-SANTOSH NAGAR,CHARMINAR ZONE,0.1295573350836896,37.373990755149244
2017,18,LINGOJIGUDA,4-LB. NAGAR,L.B.NAGAR ZONE,0.1139706226667184,38.664460887045884
2017,16,HASTHINAPURAM,4-LB. NAGAR,L.B.NAGAR ZONE,0.1496511111953123,38.695568653935624
2017,20,R.K.PURAM,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.1241844557971202,38.38087344857599
2017,19,SAROORNAGAR,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.1172096165949535,38.77862148252747
2017,14,B.N.REDDY NAGAR,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.2378876227069122,37.85234919112926
2017,12,MANSOORABAD,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.1980384356225148,38.22735450654562
2017,21,KOTHAPET,5-SAROOR NAGAR,L.B.NAGAR ZONE,0.1447609647028954,38.51599602791997
2017,11,NAGOLE,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.2362474630035436,37.280640551007124
2017,10,UPPAL,2-UPPAL,L.B.NAGAR ZONE,0.2347140882574697,38.29275604257747
2017,GRAMPANCHAYAT PEERZADI GUDA,,GRAMPANCHAYAT PEERZADIGUDA,,0.1555920839679578,37.2606344252459
2017,KALAVANCHA GRAM PANCHAYATH,,KALAVANCHA GRAMPANCHAYATH,,0.1650640614493076,38.105833962688294
2017,13,HAYATHNAGAR,3-HAYAT NAGAR,L.B.NAGAR ZONE,0.2283560383448966,38.83258418465463
